     x                         errore sistema 1 con Gauss Sidel
  1.00                                               1.72316177
  2.00                                               0.73819901
  3.00                                               1.44541977
  4.00                                               1.60903633
  5.00                                               0.77060639
  6.00                                               1.03672727
  7.00                                               1.44482657
  8.00                                               0.86945760
  9.00                                               0.69541974
 10.00                                               1.22571889
 11.00                                               0.92883676
 12.00                                               0.47006672
 13.00                                               0.98219798
 14.00                                               0.92661967
 15.00                                               0.40046135
 16.00                                               0.73970334
 17.00                                               0.86828532
 18.00                                               0.43812546
 19.00                                               0.52034554
 20.00                                               0.76824731
 21.00                                               0.48984807
 22.00                                               0.34553707
 23.00                                               0.64287263
 24.00                                               0.51449651
 25.00                                               0.24139298
 26.00                                               0.50765075
 27.00                                               0.50510883
 28.00                                               0.22248028
 29.00                                               0.37613762
 30.00                                               0.46651627
 31.00                                               0.24898556
 32.00                                               0.26019744
 33.00                                               0.40715047
 34.00                                               0.27486869
 35.00                                               0.17201032
 36.00                                               0.33600451
 37.00                                               0.28382006
 38.00                                               0.12635852
 39.00                                               0.26137504
 40.00                                               0.27433013
 41.00                                               0.12508383
 42.00                                               0.19045803
 43.00                                               0.24980114
 44.00                                               0.14125177
 45.00                                               0.12968110
 46.00                                               0.21505523
 47.00                                               0.15358852
 48.00                                               0.08608931
 49.00                                               0.17499388
 50.00                                               0.15594382
 51.00                                               0.06755891
 52.00                                               0.13404431
 53.00                                               0.14845848
 54.00                                               0.07083309
 55.00                                               0.09603091
 56.00                                               0.13330890
 57.00                                               0.07989719
 58.00                                               0.06448150
 59.00                                               0.11320747
 60.00                                               0.08545743
 61.00                                               0.04351206
 62.00                                               0.09080771
 63.00                                               0.08535044
